Facility Name,Activity Date,Service,Violation Description,Grade,Location
CHURCHWARD PUB,8/3/2012,111,Food contact surfaces: clean and sanitized,G,"1515 PARK ST
ALAMEDA, CA
(37.76582605997362, -122.2415044269809)"
CIGARETTE MAX,8/9/2012,111,Adequate handwashing facilities supplied & accessi,G,"1267 WASHINGTON AVE
SAN LEANDRO, CA
(37.7248259686578, -122.15689621046437)"
CINNABON,8/7/2012,111,Food separated and protected,G,"603 SOUTHLAND MALL
HAYWARD, CA
(37.651272616861455, -122.09891604666402)"
CINNABON #613,8/30/2012,111,Demonstration of knowledge food manager certifica,G,"2086 NEWPARK MALL
NEWARK, CA
(37.5251410149933, -121.99757470244802)"
CIRCLE K/76 #2705191,10/1/2012,111,Proper hot and cold holding temperatures,G,"449 HEGENBERGER RD
OAKLAND, CA
(37.73633729063283, -122.19713187805525)"
CIRCLE VICTORIA LIQUORS,11/26/2012,111,Adequate handwashing facilities supplied & accessi,G,"593 VICTORIA CT
SAN LEANDRO, CA
(37.73669483994418, -122.15278528437959)"
CITY LIGHTS CAFE,9/7/2012,111,Equipment/Utensils - approved installed clean g,G,"2121 HARRISON ST
OAKLAND, CA
(37.810747195337115, -122.26253057602594)"
CLASSIC BURGERS,10/3/2012,111,Hands clean and properly washed gloves used prope,G,"15927 HESPERIAN BLVD
SAN LORENZO, CA
(37.68079624765444, -122.12773366521306)"
CLASSIC DINER,10/4/2012,111,Plumbing proper backflow devices,G,"39403 FREMONT BLVD
FREMONT, CA
(37.54550887336096, -121.98247628809271)"
CLEVELAND ELEMENTARY,11/5/2012,111,Proper hot and cold holding temperatures,G,"745 CLEVELAND ST
OAKLAND, CA
(37.804343951654744, -122.24396785963445)"
CLOROX,11/6/2012,111,Proper hot and cold holding temperatures,G,"4900 JOHNSON DR
PLEASANTON, CA
(37.69204568068983, -121.90856641851371)"
CLOVERLEAF BOWL PERKY'S PIZZA,10/9/2012,111,Wiping cloths: properly used and stored,G,"40645 FREMONT BLVD
FREMONT, CA
(37.53572552555693, -121.9642254589071)"
CLUBSPORT PLEASANTON,9/7/2012,111,Proper hot and cold holding temperatures,G,"7090 JOHNSON DR
PLEASANTON, CA
(37.70124574504956, -121.91726286253709)"
COCO CAFE,9/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"1924 FRANKLIN ST
OAKLAND, CA
(37.80771648009841, -122.26749483362767)"
COCO'S,7/23/2012,111,Adequate handwashing facilities supplied & accessi,G,"7505 DUBLIN BLVD
DUBLIN, CA
(37.7047537992922, -121.92807636591806)"
COCO'S RESTAURANT,10/2/2012,111,Nonfood-contact surfaces clean,G,"20413 HESPERIAN BLVD
HAYWARD, CA
(37.66667580624329, -122.11882790896408)"
COFFEE ALI,7/10/2012,111,Food properly labeled & honestly presented,G,"3550 BERNAL AVE
PLEASANTON, CA
(37.66222416219824, -121.85696332047252)"
COFFEE COMPANY,8/7/2012,111,Hot and cold water available,G,"5424 SUNOL BLVD
PLEASANTON, CA
(37.6514335239541, -121.88017697981435)"
COFFEE MILL,7/31/2012,111,Proper hot and cold holding temperatures,G,"3363 GRAND AVE
OAKLAND, CA
(37.81331109448127, -122.24686910495052)"
COFFEE TIME,8/14/2012,111,Hot and cold water available,G,"2105 DOOLITTLE DR
SAN LEANDRO, CA
(37.70576656909841, -122.18089394025975)"
COLD STONE CREAMERY,11/7/2012,111,Signs posted last inspection report available,G,"39085 FREMONT HUB
FREMONT, CA
(37.54556495844669, -121.98790732435195)"
COLE'S MARKET,10/24/2012,111,Food storage food storage containers identified,G,"4277 FIRST ST
PLEASANTON, CA
(37.662279674217395, -121.87092299345903)"
COLISEUM EAST #135,11/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM EAST #141,11/7/2012,111,"Equipment, utensils and linens: storage and use",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM EAST #147,11/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM WEST #108 SNACK BAR,11/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM WEST #121,11/14/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM WEST #126,11/14/2012,111,"Equipment, utensils and linens: storage and use",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM WEST #128,11/14/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM WEST #130 RIBS N THINGS,11/14/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLISEUM WEST #132,11/14/2012,111,"Equipment, utensils and linens: storage and use",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
COLLEGE POINT CAFE,9/17/2012,111,Food contact surfaces: clean and sanitized,G,"5254 COLLEGE AVE
OAKLAND, CA
(37.83693149716411, -122.2512122805445)"
COLONIAL DONUTS,8/21/2012,111,Proper hot and cold holding temperatures,G,"1632 FRANKLIN ST
OAKLAND, CA
(37.80569107277411, -122.26873310825502)"
COMFORT INN,10/1/2012,111,Signs posted last inspection report available,G,"8452 EDES AVE
OAKLAND, CA
(37.74066720578107, -122.19466146102101)"
COMMON WEALTH CAFE & PUB,11/14/2012,111,Proper hot and cold holding temperatures,G,"2882 TELEGRAPH AVE
OAKLAND, CA
(37.81782701769243, -122.26742355468897)"
COOBI YOGURT SHOP,8/23/2012,111,Premises personal/cleaning items vermin-proofing,G,"536 9TH ST
OAKLAND, CA
(37.80174070840304, -122.27540872287312)"
COSECHA RESTAURANT,11/1/2012,111,Proper cooling methods,G,"907 WASHINGTON ST
OAKLAND, CA
(37.80145064576958, -122.27459767077144)"
COSTCO WHOLESALE,9/25/2012,111,Equipment/Utensils - approved installed clean g,G,"2800 INDEPENDENCE DR
LIVERMORE, CA
(37.70185728402947, -121.81038743257506)"
COSTCO WHOLESALE #118,7/31/2012,111,Hot and cold water available,G,"1900 DAVIS ST
SAN LEANDRO, CA
(37.71825225736315, -122.18075527472145)"
COUTURE CAKES,10/18/2012,111,Equipment/Utensils - approved installed clean g,G,"21120 MISSION BLVD
HAYWARD, CA
(37.68293554853301, -122.09720820737971)"
COYOTE BAR,9/26/2012,111,Hot and cold water available,G,"2089 DOOLITTLE DR
SAN LEANDRO, CA
(37.705927102671666, -122.18099982410594)"
CREEKSIDE BISTRO,10/10/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"500 DAVIS ST
SAN LEANDRO, CA
(37.72440297974218, -122.16030691356463)"
CREPE BAR,8/31/2012,111,Demonstration of knowledge food manager certifica,G,"2084 NEWPARK MALL
NEWARK, CA
(37.52514786928265, -121.9975724176849)"
CROGAN'S--MONTCLAIR,9/5/2012,111,Demonstration of knowledge food manager certifica,G,"6101 LA SALLE AVE
OAKLAND, CA
(37.826258949120906, -122.21056755819158)"
CROLL'S PIZZA,10/2/2012,111,Adequate handwashing facilities supplied & accessi,G,"705 CENTRAL AVE
ALAMEDA, CA
(37.77147717738764, -122.27662182188321)"
CROSS ROADS SPECIALTY FOODS,9/19/2012,111,Proper hot and cold holding temperatures,G,"230 JACKSON ST
HAYWARD, CA
(37.65946324356827, -122.08605661421637)"
CUIDAD AZTECA TAQUERIA,9/24/2012,111,Proper hot and cold holding temperatures,G,"16240 FOOTHILL BLVD
SAN LEANDRO, CA
(37.7017822017803, -122.1094709362264)"
CULINARY EXCELLENCE,8/13/2012,111,"Warewashing facilities: installed, maintained, use",G,"8210 CAPWELL DR
OAKLAND, CA
(37.73756874102894, -122.20194698747498)"
CUPCAKE COVE,7/2/2012,111,Food storage food storage containers identified,G,"500 12TH ST
OAKLAND, CA
(37.80340872757807, -122.27317854885285)"
CUPID'S TOOTH,11/29/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"99 W NEAL ST
PLEASANTON, CA
(37.660247906194904, -121.8749470818075)"
CURRY CORNER TAKEAWAYS,7/18/2012,111,Hot and cold water available,G,"26657 MISSION BLVD
HAYWARD, CA
(37.646601252337305, -122.06351987599776)"
CUSTOM CAKES BY DOROTHY,10/2/2012,111,Equipment/Utensils - approved installed clean g,G,"20691 FOREST AVE
CASTRO VALLEY, CA
(37.69434885795519, -122.06904945451187)"
CVS PHARMACY # 9250,8/28/2012,111,"Equipment, utensils and linens: storage and use",G,"885 ISLAND DR
ALAMEDA, CA
(37.73735837859881, -122.23889900115927)"
CVS PHARMACY # 9255,7/20/2012,111,Nonfood-contact surfaces clean,G,"931 MARINA VILLAGE PKWY
ALAMEDA, CA
(37.782823778154224, -122.27155697033342)"
CVS PHARMACY # 9595,7/23/2012,111,"Toilet facilities: properly constructed, supplied,",G,"1382 SOLANO AVE
ALBANY, CA
(37.89072390340277, -122.29053546401832)"
CVS PHARMACY #9128,9/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"2314 SANTA CLARA AVE
ALAMEDA, CA
(37.765853039634464, -122.24314119307422)"
CVS/PHARMACY #1283,9/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"3238 LAKESHORE AVE
OAKLAND, CA
(37.810525438362184, -122.24455417153375)"
CVS/PHARMACY #414,11/16/2012,111,Adequate handwashing facilities supplied & accessi,G,"14869 E 14TH ST
SAN LEANDRO, CA
(37.70703552293575, -122.13120826016142)"
CVS/PHARMACY #9397,8/8/2012,111,Nonfood-contact surfaces clean,G,"4405 N FIRST ST
LIVERMORE, CA
(37.69698844502858, -121.74366001394515)"
CVS/PHARMACY #9635,10/9/2012,111,Adequate handwashing facilities supplied & accessi,G,"1188 E 14TH ST
SAN LEANDRO, CA
(37.72593213475386, -122.15693218334553)"
CVS/PHARMACY #9678,10/31/2012,111,Hot and cold water available,G,"1500 FIRST ST
LIVERMORE, CA
(37.679148631140386, -121.77737874458872)"
CVS/PHARMACY #9876,11/20/2012,111,Hot and cold water available,G,"699 LEWELLING BLVD
SAN LEANDRO, CA
(37.686658741734334, -122.13858601394782)"
CVS/PHARMACY #9942,10/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"1401 WASHINGTON AVE
SAN LEANDRO, CA
(37.723680132813506, -122.15616958821877)"
CYBELLE'S PIZZA,7/19/2012,111,Proper hot and cold holding temperatures,G,"3465 FRUITVALE AVE
OAKLAND, CA
(37.800162175052265, -122.21626045761843)"
CYBELLE'S PIZZA #4,8/14/2012,111,Proper hot and cold holding temperatures,G,"3762 PIEDMONT AVE
OAKLAND, CA
(37.82363267723616, -122.25596418420004)"
D'GONZALEZ MEAT MARKET,10/11/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"796 E 14TH ST
SAN LEANDRO, CA
(37.72912260599206, -122.15910445211789)"
D.T. DIM SUM & TEA,11/7/2012,111,Demonstration of knowledge food manager certifica,G,"1970 LEWELLING BLVD
SAN LEANDRO, CA
(37.680046021573226, -122.15438571538623)"
DAILY BAGEL CAFE,10/24/2012,111,Signs posted last inspection report available,G,"40061 MISSION BLVD
FREMONT, CA
(37.557021010938946, -121.95140166021905)"
DAIRY BELLE FREEZE,7/25/2012,111,Plumbing proper backflow devices,G,"1766 MARINA BLVD
SAN LEANDRO, CA
(37.7089205117843, -122.17063928472776)"
DAIRY QUEEN/ORANGE JULIUS,8/3/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"349 SOUTHLAND MALL
HAYWARD, CA
(37.65398016529488, -122.10077543901002)"
DAMPA FILIPINO FOOD,8/16/2012,111,Adequate handwashing facilities supplied & accessi,G,"2960 CASTRO VALLEY BLVD
CASTRO VALLEY, CA
(37.69546030314708, -122.08247567539492)"
DAN'S FRESH PRODUCE,8/8/2012,111,Food storage food storage containers identified,G,"2300 CENTRAL AVE
ALAMEDA, CA
(37.76467492777613, -122.2439775625615)"
DANDY DOGS,7/26/2012,111,Demonstration of knowledge food manager certifica,G,"4086 EAST AVE
LIVERMORE, CA
(37.67995066285454, -121.74728822279631)"
DAREYE ETHIOPIAN BAKERY,10/10/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"2504 TELEGRAPH AVE
OAKLAND, CA
(37.81473241548503, -122.2681921523705)"
DAVE'S LIQUORS,10/2/2012,111,Nonfood-contact surfaces clean,G,"1401 WEBSTER ST
ALAMEDA, CA
(37.77157272774082, -122.27687476239328)"
DAVIS PLAZA MARKET,8/22/2012,111,Adequate handwashing facilities supplied & accessi,G,"1288 DAVIS ST
SAN LEANDRO, CA
(37.72124889359749, -122.17035243435122)"
DAVIS STREET FAMILY RESOURCE CTR,9/25/2012,111,"No rodents, insects, birds, or animals",G,"3081 TEAGARGEN ST
SAN LEANDRO, CA
(37.72802000012308, -122.15834000009079)"
DAVIS STREET SHELL (FOOD MART),7/12/2012,111,Proper hot and cold holding temperatures,G,"1944 DAVIS ST
SAN LEANDRO, CA
(37.71794380465314, -122.18157155612657)"
DE AFGHANAN CUISINE,10/16/2012,111,Food separated and protected,G,"37395 FREMONT BLVD
FREMONT, CA
(37.55782186781681, -122.00630473665808)"
DE AFGHANAN KABOB HOUSE,7/31/2012,111,Demonstration of knowledge food manager certifica,G,"1550 RAILROAD AVE
LIVERMORE, CA
(37.68104152228926, -121.77745918146213)"
DEAN'S CAFE,10/23/2012,111,Food storage food storage containers identified,G,"620 MAIN ST
PLEASANTON, CA
(37.661729652113046, -121.87516481580123)"
DEFREMERY RECREATION CTR SNACK BAR,10/23/2012,111,Demonstration of knowledge food manager certifica,G,"1651 ADELINE ST
OAKLAND, CA
(37.81141714212085, -122.28553500546636)"
DEL REY SCHOOL,10/3/2012,111,Food separated and protected,G,"1510 VIA SONYA
SAN LORENZO, CA
(37.668636975937275, -122.13653294579987)"
DEL TACO,10/8/2012,111,Nonfood-contact surfaces clean,G,"6160 JARVIS AVE
NEWARK, CA
(37.549530118706684, -122.05002977372266)"
DELATORRE'S RESTAURANT,10/30/2012,111,Proper hot and cold holding temperatures,G,"6025 W LAS POSITAS BLVD
PLEASANTON, CA
(37.68193210094405, -121.90422876945989)"
DELAUER'S NEWS STAND,10/24/2012,111,Adequate handwashing facilities supplied & accessi,G,"1310 BROADWAY
OAKLAND, CA
(37.80369555324993, -122.27150715649991)"
DELICIEUSE PRINCESS BAKERY,11/8/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"317 13TH ST
OAKLAND, CA
(37.802344627627306, -122.26847808528358)"
DELICIOUS DONUTS & BAGELS,10/6/2012,131,Food contact surfaces: clean and sanitized,G,"34916 NEWARK BLVD
NEWARK, CA
(37.551433729377045, -122.05095466660481)"
DELIGHT GARDEN,10/12/2012,131,Proper hot and cold holding temperatures,G,"699 LEWELLING BLVD
SAN LEANDRO, CA
(37.686658741734334, -122.13858601394782)"
DENNY'S,9/12/2012,111,Proper hot and cold holding temperatures,G,"46645 MISSION BLVD
FREMONT, CA
(37.490462647822255, -121.92904398112091)"
DENNY'S #6919,9/5/2012,111,Equipment/Utensils - approved installed clean g,G,"15015 FREEDOM AVE
SAN LEANDRO, CA
(37.70859320602898, -122.12364827504115)"
DENNY'S RESTAURANT  #6961,11/6/2012,131,Garbage and refuse properly disposed facilities m,G,"6455 OWENS DR
PLEASANTON, CA
(37.69798076139038, -121.90627361840683)"
DER WIENERSCHNITZEL,8/29/2012,111,Proper reheating procedures for hot holding,G,"323 S LIVERMORE AVE
LIVERMORE, CA
(37.68058831803654, -121.76618575483496)"
DICK'S RESTAURANT,11/28/2012,111,Adequate handwashing facilities supplied & accessi,G,"3188 ALVARADO ST
SAN LEANDRO, CA
(37.70361205082703, -122.15081296138635)"
DICKEY'S BARBECUE PIT,8/1/2012,111,Proper hot and cold holding temperatures,G,"43321 BOSCELL RD
FREMONT, CA
(37.50291808675578, -121.97558734238585)"
DICKY'S BARBECUE PIT,10/9/2012,111,Equipment/Utensils - approved installed clean g,G,"6654 KOLL CENTER PKWY
PLEASANTON, CA
(37.659274385942126, -121.89884474737698)"
DIGGER'S DINER EXPRESS,11/28/2012,111,Wiping cloths: properly used and stored,G,"15555 E 14TH ST
SAN LEANDRO, CA
(37.70262696326604, -122.12492304842067)"
DIGGERY INN,8/1/2012,111,Demonstration of knowledge food manager certifica,G,"4212 PARK BLVD
OAKLAND, CA
(37.80731178518522, -122.22237584741771)"
DIM SUM KAI,8/15/2012,111,Adequate handwashing facilities supplied & accessi,G,"1771 DECOTO RD
UNION CITY, CA
(37.58883907146332, -122.0211175420959)"
DIMOND CAFE,8/10/2012,111,Demonstration of knowledge food manager certifica,G,"3430 FRUITVALE AVE
OAKLAND, CA
(37.79958250906614, -122.21638407420657)"
DINA'S RESTAURANT,8/8/2012,111,Signs posted last inspection report available,G,"40800 FREMONT BLVD
FREMONT, CA
(37.53482620352759, -121.96252574027176)"
DINO'S FAMILY RESTAURANT,11/8/2012,111,Food contact surfaces: clean and sanitized,G,"36930 FREMONT BLVD
FREMONT, CA
(37.56122469400815, -122.0127766496424)"
DINO'S GRILL,10/4/2012,111,Food contact surfaces: clean and sanitized,G,"5855 JARVIS AVE
NEWARK, CA
(37.55221216921319, -122.04790411690479)"
DINO'S RESTAURANT,9/5/2012,111,Adequate handwashing facilities supplied & accessi,G,"3600 CASTRO VALLEY BLVD
CASTRO VALLEY, CA
(37.69520230101267, -122.07244087869282)"
DISCO VOLANTE,9/25/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"347 14TH ST
OAKLAND, CA
(37.80323785639246, -122.26852905396134)"
DISCOUNT CITY #3,10/2/2012,111,Adequate handwashing facilities supplied & accessi,G,"1440 WEBSTER ST
ALAMEDA, CA
(37.77271486671805, -122.27677583697005)"
DISCOUNT LIQUOR,8/23/2012,111,Adequate handwashing facilities supplied & accessi,G,"212 S L ST
LIVERMORE, CA
(37.68007857596511, -121.77077578309263)"
DOGGY STYLE HOT DOGS,9/5/2012,111,Personal cleanliness and hair restraints,G,"1234 PARK ST
ALAMEDA, CA
(37.76175647694197, -122.24479595999692)"
DOGWOOD,9/11/2012,111,"No discharge from eyes, nose, and mouth",G,"1644 TELEGRAPH AVE
OAKLAND, CA
(37.806019592117394, -122.27038211818584)"
DOLLAR AND OVER STORE,11/28/2012,111,Equipment/Utensils - approved installed clean g,G,"40 BLOSSOM WAY
HAYWARD, CA
(37.67604674178858, -122.11039226832924)"
DOLLAR TREE STORE #1250,8/9/2012,111,"No rodents, insects, birds, or animals",G,"1490 RAILROAD AVE
LIVERMORE, CA
(37.680804155323585, -121.77820969036668)"
DOLLAR TREE STORE #1264,7/18/2012,111,Hot and cold water available,G,"20800 HESPERIAN BLVD
HAYWARD, CA
(37.664679311338205, -122.11734402761573)"
DOLLAR TREE STORES INC # 1387,9/14/2012,111,Signs posted last inspection report available,G,"15100 HESPERIAN BLVD
SAN LEANDRO, CA
(37.701641446742485, -122.12993453602593)"
DOMENICOS RESTAURANT,10/24/2012,111,Proper hot and cold holding temperatures,G,"1407 WEBSTER ST
ALAMEDA, CA
(37.7716486543496, -122.27690838026452)"
DOMINO'S,7/2/2012,111,"Toxic substances properly identified, stored, used",G,"314 BROADWAY
OAKLAND, CA
(37.79684114477548, -122.27579625959434)"
DOMINO'S PIZZA,9/5/2012,111,Adequate handwashing facilities supplied & accessi,G,"1421 SOLANO AVE
ALBANY, CA
(37.8908576947293, -122.28946002137265)"
DOMINO'S PIZZA #7629,11/9/2012,131,"Floors, walls and ceilings: built, maintained, and",G,"90 S L ST
LIVERMORE, CA
(37.6812807959991, -121.7714018226049)"
DON POLVORON,11/5/2012,111,Food contact surfaces: clean and sanitized,G,"669 W TENNYSON RD
HAYWARD, CA
(37.63203191188314, -122.06844923510927)"
DON WILLY'S TAQUERIA AND MORE,11/27/2012,111,Demonstration of knowledge food manager certifica,G,"333 17TH ST
OAKLAND, CA
(37.8055401207875, -122.26699121329125)"
DONLAN ELEMENTARY SCHOOL,10/12/2012,111,Equipment/Utensils - approved installed clean g,G,"4150 DORMAN
PLEASANTON, CA
(37.68453522611082, -121.90686902406175)"
DONUT & LOUISIANA FRIED CHICKEN,9/7/2012,111,Food storage food storage containers identified,G,"15032 FARNSWORTH ST
SAN LEANDRO, CA
(37.69093535713839, -122.15179031955509)"
DONUT KING,8/22/2012,111,Proper hot and cold holding temperatures,G,"1807 SANTA RITA RD
PLEASANTON, CA
(37.67807021635451, -121.87454506614534)"
DONUT WHEEL,10/17/2012,111,Proper hot and cold holding temperatures,G,"2017 N FIRST ST
LIVERMORE, CA
(37.68090145699849, -121.77100106251082)"
DORSEY'S LOCKER (COCKTAIL LOUNGE),9/19/2012,111,Adequate handwashing facilities supplied & accessi,G,"5817 SHATTUCK AVE
OAKLAND, CA
(37.844031103641555, -122.26505767092829)"
DORSEY'S LOCKER (RESTAURANT),9/19/2012,111,Adequate handwashing facilities supplied & accessi,G,"5817 SHATTUCK AVE
OAKLAND, CA
(37.844031103641555, -122.26505767092829)"
DOUBLE AA GAS STATION,11/9/2012,131,Permits Available,G,"160 HOLMES ST
LIVERMORE, CA
(37.67823209431981, -121.77905505307427)"
DOUBLE BARREL WINE BAR,9/14/2012,111,Proper hot and cold holding temperatures,G,"2086 FIRST ST
LIVERMORE, CA
(37.681244823117936, -121.7700258599001)"
DOUGH BOYS DONUTS,9/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"7867 AMADOR VALLEY BLVD
DUBLIN, CA
(37.70607980714795, -121.93505454097641)"
DOUGHNUT DOLLY,10/19/2012,111,Hands clean and properly washed gloves used prope,G,"482 49TH ST
OAKLAND, CA
(37.83594072105607, -122.26211603387303)"
DR BEANZ,10/29/2012,111,Nonfood-contact surfaces clean,G,"7377 AMADOR VALLEY BLVD
DUBLIN, CA
(37.7099787412921, -121.92764188151939)"
DRAGON ROUGE,7/27/2012,111,Proper hot and cold holding temperatures,G,"2337 BLANDING AVE
ALAMEDA, CA
(37.771179790950875, -122.23865092840903)"
DRAGON VILLAGE,10/23/2012,111,Adequate handwashing facilities supplied & accessi,G,"642 LINCOLN AVE
ALAMEDA, CA
(37.775183009621415, -122.27819443141053)"
DRUNKEN FISH,9/6/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"3314 PIEDMONT AVE
OAKLAND, CA
(37.820946293541475, -122.26061506652857)"
DRY ICE RINKSIDE CAFE,11/5/2012,111,Signs posted last inspection report available,G,"210 HEGENBERGER LOOP
OAKLAND, CA
(37.73671500588517, -122.19526128823429)"
DUBLIN ELEMENTARY SCHOOL,9/17/2012,111,Personal cleanliness and hair restraints,G,"7997 VOMAC RD
DUBLIN, CA
(37.714314206264575, -121.93687381076697)"
DUBLIN LITTLE LEAGUE,7/30/2012,111,Demonstration of knowledge food manager certifica,G,"4605 LOCKHART ST
DUBLIN, CA
(37.704059999569495, -121.91646000002885)"
DUBLIN RANCH GOLF COURSE(TURNSTAND),8/14/2012,111,Demonstration of knowledge food manager certifica,G,"5900 SIGNAL HILL DR
DUBLIN, CA
(37.7258785924432, -121.85704828432739)"
DUBLIN SENIOR CENTER,10/24/2012,111,Nonfood-contact surfaces clean,G,"7600 AMADOR VALLEY BLVD
DUBLIN, CA
(37.70829642975929, -121.93271321500043)"
DUTTON LIQUORS,11/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"690 E 14TH ST
SAN LEANDRO, CA
(37.72997427635315, -122.15974389496886)"
E 14TH ST BAKERY,11/14/2012,111,Demonstration of knowledge food manager certifica,G,"1780 E 14TH ST
SAN LEANDRO, CA
(37.721463588072226, -122.15101971033084)"
E ONE ENTERTAINMENT SUSHI BAR,11/29/2012,111,Adequate handwashing facilities supplied & accessi,G,"200 HEGENBERGER RD
OAKLAND, CA
(37.73116618896438, -122.1992272983835)"
E SUSHI,9/11/2012,111,Demonstration of knowledge food manager certifica,G,"7435 AMADOR VALLEY BLVD
DUBLIN, CA
(37.709852256869965, -121.92793781502485)"
E.P. CAFE,8/9/2012,111,Proper hot and cold holding temperatures,G,"7700 EDGEWATER DR
OAKLAND, CA
(37.74334300924113, -122.20420054920555)"
EARHART CAFETERIA @ ROLLS ROYCE,9/10/2012,111,Hot and cold water available,G,"7200 EARHART RD
OAKLAND, CA
(37.73990402464301, -122.21859530898617)"
EARHART ELEMENTARY SCHOOL,9/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"400 PACKET LANDING RD
ALAMEDA, CA
(37.7446431686465, -122.23900525157114)"
EARTHLY DELIGHTS,7/11/2012,111,Adequate handwashing facilities supplied & accessi,G,"7063 COMMERCE CIR
PLEASANTON, CA
(37.69883556201103, -121.91651642525278)"
EAST BAY ARTS,9/10/2012,111,Food contact surfaces: clean and sanitized,G,"20450 ROYAL AVE
HAYWARD, CA
(37.66911296894267, -122.1151227022034)"
EAST BAY KOREAN AMERICAN SENIOR CTR,10/30/2012,111,Food contact surfaces: clean and sanitized,G,"1723 TELEGRAPH AVE
OAKLAND, CA
(37.80723084620257, -122.27019279971557)"
EAST BAY MARKET,7/12/2012,111,Demonstration of knowledge food manager certifica,G,"8432 INTERNATIONAL BLVD
OAKLAND, CA
(37.753775144781, -122.1773467934106)"
EAST END PIZZA CO,7/31/2012,111,Personal cleanliness and hair restraints,G,"1650 PARK ST
ALAMEDA, CA
(37.7679034938613, -122.23966981004111)"
EAST OCEAN SEAFOOD RESTAURANT,11/2/2012,111,Nonfood-contact surfaces clean,G,"1713 WEBSTER ST
ALAMEDA, CA
(37.776391739437514, -122.27673202935704)"
EASTERN WINDS,8/10/2012,111,Signs posted last inspection report available,G,"41039 FREMONT BLVD
FREMONT, CA
(37.53171480372197, -121.9590193222992)"
ED'S LIQUOR,10/2/2012,111,Adequate handwashing facilities supplied & accessi,G,"2700 23RD AVE
OAKLAND, CA
(37.79375000898335, -122.22662064739598)"
EDDIE PAPA'S AMERICAN HANGOUT,11/19/2012,111,Proper hot and cold holding temperatures,G,"4889 HOPYARD RD
PLEASANTON, CA
(37.69249474040648, -121.90347636101467)"
EDEN HOSPITAL,9/14/2012,111,Equipment/Utensils - approved installed clean g,G,"20103 LAKE CHABOT RD
CASTRO VALLEY, CA
(37.69837780811417, -122.08740174065385)"
EDEN PLAZA,10/3/2012,111,Proper hot and cold holding temperatures,G,"3541 INVESTMENT BLVD
HAYWARD, CA
(37.624695229338585, -122.12092768578555)"
EDEN PLAZA CAFE,10/25/2012,111,Proper hot and cold holding temperatures,G,"3300 WEBSTER ST
OAKLAND, CA
(37.82130523596112, -122.2621528607736)"
EDEN UNITED CHURCH OF CHRIST,11/15/2012,111,Plumbing proper backflow devices,G,"21455 BIRCH ST
HAYWARD, CA
(37.68156316616685, -122.09352903995395)"
EDEN'S LIQUOR,11/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"1086 A ST
HAYWARD, CA
(37.67497654857374, -122.08234241423537)"
EDNA MILLER BREWER SCHOOL,11/5/2012,111,Demonstration of knowledge food manager certifica,G,"3748 13TH AVE
OAKLAND, CA
(37.80377744961004, -122.22957042365209)"
EDNA'S DONUTS BY GEORGE,7/30/2012,111,Adequate handwashing facilities supplied & accessi,G,"113 W TENNYSON RD
HAYWARD, CA
(37.63398430121099, -122.06411046478016)"
EGBERT SOUSE'S,8/14/2012,111,Demonstration of knowledge food manager certifica,G,"3758 PIEDMONT AVE
OAKLAND, CA
(37.823607143844114, -122.25599834373806)"
EINSTEINS,11/8/2012,111,Proper hot and cold holding temperatures,G,"25800 CARLOS BEE BLVD
HAYWARD, CA
(37.65892004126538, -122.0626213675082)"
